255,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 10 km Stau"
256,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, Staugefahr"
257,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, (L) stockender Verkehr"
258,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 1 km stockender Verkehr"
259,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 2 km stockender Verkehr"
260,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 4 km stockender Verkehr"
261,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 6 km stockender Verkehr"
262,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 10 km stockender Verkehr"
263,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, Gefahr von stockendem Verkehr"
264,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, (L) dichter Verkehr"
265,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 1 km dichter Verkehr"
266,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 2 km dichter Verkehr"
267,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 4 km dichter Verkehr"
268,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 6 km dichter Verkehr"
269,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, 10 km dichter Verkehr"
270,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, dichter Verkehr zu erwarten"
271,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, (L) reger Verkehr"
272,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, reger Verkehr zu erwarten"
274,"Verkehrsbehinderung durch Neugierige an einer Unfallstelle, (L) dichter Verkehr mit zunehmender Tendenz"
275,"Verkehrsbehinderung durch Neugierige, Zeitverlust"
276,"Verkehrsbehinderung durch Neugierige, es ist mit Zeitverlust zu rechnen"
277,"Verkehrsbehinderung durch Neugierige, großer Zeitverlust"
278,"verlorene Ladung, (L) Stau"
279,"verlorene Ladung, 1 km Stau"
280,"verlorene Ladung, 2 km Stau"
281,"verlorene Ladung, 4 km Stau"
282,"verlorene Ladung, 6 km Stau"
283,"verlorene Ladung, 10 km Stau"
284,"verlorene Ladung, Staugefahr"
285,"verlorene Ladung, (L) stockender Verkehr"
286,"verlorene Ladung, 1 km stockender Verkehr"
287,"verlorene Ladung, 2 km stockender Verkehr"
288,"verlorene Ladung, 4 km stockender Verkehr"
289,"verlorene Ladung, 6 km stockender Verkehr"
290,"verlorene Ladung, 10 km stockender Verkehr"
291,"verlorene Ladung, Gefahr von stockendem Verkehr"
292,"verlorene Ladung, (L) dichter Verkehr"
293,"verlorene Ladung, 1 km dichter Verkehr"
294,"verlorene Ladung, 2 km dichter Verkehr"
295,"verlorene Ladung, 4 km dichter Verkehr"
296,"verlorene Ladung, 6 km dichter Verkehr"
297,"verlorene Ladung, 10 km dichter Verkehr"
298,"verlorene Ladung, dichter Verkehr zu erwarten"
299,"verlorene Ladung, (L) reger Verkehr"
300,"verlorene Ladung, reger Verkehr zu erwarten"
301,"verlorene Ladung, störungsfreier Verkehr"
302,"verlorene Ladung, (L) dichter Verkehr mit zunehmender Tendenz"
303,durch verlorene Ladung blockiert
304,"verlorene Ladung, rechter Fahrstreifen blockiert"
305,"verlorene Ladung, mittlerer Fahrstreifen blockiert"
306,"verlorene Ladung, linker Fahrstreifen blockiert"
307,"verlorene Ladung, Standstreifen blockiert"
308,"verlorene Ladung, zwei Fahrstreifen blockiert"
309,"verlorene Ladung, drei Fahrstreifen blockiert"
310,"verlorene Ladung, Zeitverlust"
311,"verlorene Ladung, es ist mit Zeitverlust zu rechnen"
312,"verlorene Ladung, großer Zeitverlust"
313,"defektes Fahrzeug, (L) Stau"
314,"defektes Fahrzeug, Staugefahr"
